Date,Object,X_AU,Y_AU,Z_AU,VX_AU_day,VY_AU_day,VZ_AU_day
A.D. 2025-Sep-18 00:00:00.0000,Mars (499),-1.071581575658209,-1.132472736748042,0.00254547795915527,0.01069113097022277,-0.008419422667870257,-0.0004386069336212683
A.D. 2025-Sep-19 00:00:00.0000,Mars (499),-1.060848715342152,-1.140847804980344,0.002106777259124247,0.01077448285004316,-0.008330569433593678,-0.0004387888173980609
A.D. 2025-Sep-20 00:00:00.0000,Mars (499),-1.050032825095115,-1.149133587410856,0.001667911627664575,0.01085718925982832,-0.008240851504379438,-0.0004389367561113226
A.D. 2025-Sep-21 00:00:00.0000,Mars (499),-1.039134555049702,-1.157329220632691,0.001228915102093693,0.01093924089104878,-0.008150271487197538,-0.0004390505781378755
A.D. 2025-Sep-22 00:00:00.0000,Mars (499),-1.028154564670017,-1.165433843901111,0.000789821892453287,0.01102062838609212,-0.008058832082317448,-0.0004391301072192335
A.D. 2025-Sep-23 00:00:00.0000,Mars (499),-1.017093522790134,-1.173446599231912,0.0003506663805604267,0.01110134234692112,-0.007966536092199503,-0.0004391751668507889
A.D. 2025-Sep-24 00:00:00.0000,Mars (499),-1.005952107652366,-1.181366631500673,-8.8516880739698e-05,0.01118137334165258,-0.007873386428878564,-0.000439185583772812
A.D. 2025-Sep-25 00:00:00.0000,Mars (499),-0.9947310069440298,-1.18919308854251,-0.0005276931686612473,0.0112607119061012,-0.007779386115116754,-0.0004391611887330563
A.D. 2025-Sep-26 00:00:00.0000,Mars (499),-0.9834309178322607,-1.196925121253481,-0.0009668275921598633,0.01133934854541808,-0.007684538276563687,-0.0004391018165362674
A.D. 2025-Sep-27 00:00:00.0000,Mars (499),-0.9720525469980061,-1.204561883694322,-0.001405885093736823,0.0114172737356828,-0.007588846131319608,-0.0004390073054609964
A.D. 2025-Sep-28 00:00:00.0000,Mars (499),-0.9605966106704199,-1.212102533195737,-0.001844830450727018,0.01149447792012769,-0.007492312990366914,-0.0004388774945069062
A.D. 2025-Sep-29 00:00:00.0000,Mars (499),-0.9490638346612505,-1.219546230464354,-0.002283628276160969,0.01157095150273253,-0.007394942270916694,-0.0004387122204971302
A.D. 2025-Sep-30 00:00:00.0000,Mars (499),-0.9374549543976786,-1.226892139689788,-0.00272224301992844,0.01164668484650359,-0.00729673750728386,-0.0004385113177165225
A.D. 2025-Oct-01 00:00:00.0000,Mars (499),-0.9257707149531377,-1.234139428654059,-0.003160638970537723,0.01172166827837493,-0.007197702351331442,-0.0004382746200726242
A.D. 2025-Oct-02 00:00:00.0000,Mars (499),-0.9140118710771867,-1.241287268843688,-0.003598780257011277,0.01179589209864837,-0.007097840569953201,-0.0004380019650140454
A.D. 2025-Oct-03 00:00:00.0000,Mars (499),-0.9021791872251983,-1.248334835563241,-0.004036630850476968,0.01186934658942121,-0.006997156045149699,-0.000437693197080679
A.D. 2025-Oct-04 00:00:00.0000,Mars (499),-0.890273437587128,-1.255281308049072,-0.004474154565664084,0.01194202201464285,-0.006895652772133872,-0.0004373481673191619
A.D. 2025-Oct-05 00:00:00.0000,Mars (499),-0.8782954061144034,-1.262125869583696,-0.004911315062735327,0.01201390861057316,-0.00679333485438333,-0.0004369667276486347
A.D. 2025-Oct-06 00:00:00.0000,Mars (499),-0.8662458865453027,-1.268867707612413,-0.005348075849357764,0.0120849965777115,-0.006690206504378964,-0.0004365487260801568
A.D. 2025-Oct-07 00:00:00.0000,Mars (499),-0.8541256824299065,-1.275506013862816,-0.005784400282579445,0.01215527608434708,-0.006586272052758334,-0.0004360940082303056
A.D. 2025-Oct-08 00:00:00.0000,Mars (499),-0.8419356071547413,-1.282039984465927,-0.006220251570372631,0.01222473727532369,-0.006481535958889888,-0.0004356024217424554
A.D. 2025-Oct-09 00:00:00.0000,Mars (499),-0.8296764839659307,-1.288468820077859,-0.006655592773294363,0.01229337027621407,-0.006376002816216686,-0.000435073818329256
A.D. 2025-Oct-10 00:00:00.0000,Mars (499),-0.8173491459898334,-1.294791726002621,-0.007090386806736904,0.01236116519510127,-0.00626967734913812,-0.0004345080540628058
A.D. 2025-Oct-11 00:00:00.0000,Mars (499),-0.8049544362516541,-1.301007912317206,-0.007524596443611085,0.01242811212675977,-0.006162564403416606,-0.0004339049900948587
A.D. 2025-Oct-12 00:00:00.0000,Mars (499),-0.7924932076934027,-1.307116593998723,-0.007958184316807322,0.01249420115460582,-0.006054668939189892,-0.0004332644920748773
A.D. 2025-Oct-13 00:00:00.0000,Mars (499),-0.7799663231916373,-1.313116991052339,-0.008391112921110578,0.01255942234481984,-0.005945996036305558,-0.0004325864265227969
A.D. 2025-Oct-14 00:00:00.0000,Mars (499),-0.7673746555738307,-1.319008328639844,-0.008823344615057764,0.01262376573959253,-0.005836550907532687,-0.0004318706576790079
A.D. 2025-Oct-15 00:00:00.0000,Mars (499),-0.754719087632219,-1.324789837210062,-0.00925484162332962,0.01268722135847335,-0.005726338905235558,-0.0004311170481160288
A.D. 2025-Oct-16 00:00:00.0000,Mars (499),-0.742000512135581,-1.330460752632059,-0.009685566039550904,0.01274977920724497,-0.005615365520204603,-0.0004303254623214302
A.D. 2025-Oct-17 00:00:00.0000,Mars (499),-0.729219831840072,-1.336020316330459,-0.01011547982893249,0.01281142928853853,-0.005503636381328996,-0.0004294957710072785
A.D. 2025-Oct-18 00:00:00.0000,Mars (499),-0.7163779594989964,-1.341467775421351,-0.01054454483067961,0.01287216160752808,-0.005391157256527174,-0.0004286278531822604
A.D. 2025-Oct-19 00:00:00.0000,Mars (499),-0.7034758178703439,-1.34680238284838,-0.01097272276063164,0.01293196616883796,-0.005277934048360665,-0.0004277215935945442
A.D. 2025-Oct-20 00:00:00.0000,Mars (499),-0.6905143397217788,-1.352023397520232,-0.0113999752143175,0.01299083296782948,-0.00516397278791628,-0.000426776877020562
A.D. 2025-Oct-21 00:00:00.0000,Mars (499),-0.6774944678341818,-1.357130084450749,-0.01182626366999231,0.0130487519871659,-0.00504927963840762,-0.0004257935855839795
A.D. 2025-Oct-22 00:00:00.0000,Mars (499),-0.664417155004527,-1.362121714901249,-0.01225154949127879,0.01310571320314832,-0.004933860907461395,-0.0004247716016410881
A.D. 2025-Oct-23 00:00:00.0000,Mars (499),-0.6512833640472969,-1.36699756652365,-0.0126757939296723,0.0131617065929464,-0.004817723057128646,-0.000423710811280537
A.D. 2025-Oct-24 00:00:00.0000,Mars (499),-0.6380940677930379,-1.371756923504201,-0.01309895812750955,0.01321672213763124,-0.004700872705116493,-0.0004226111052840956
A.D. 2025-Oct-25 00:00:00.0000,Mars (499),-0.6248502490838407,-1.376399076708993,-0.01352100312154995,0.01327074982621583,-0.004583316618147497,-0.0004214723798482856
A.D. 2025-Oct-26 00:00:00.0000,Mars (499),-0.6115529007668954,-1.380923323831732,-0.01394188984666875,0.01332377966202839,-0.004465061703074319,-0.0004202945379430276
A.D. 2025-Oct-27 00:00:00.0000,Mars (499),-0.598203025687115,-1.385328969542663,-0.01436157913910992,0.01337580166299635,-0.004346115004114272,-0.0004190774878729635
A.D. 2025-Oct-28 00:00:00.0000,Mars (499),-0.5848016366783232,-1.389615325637657,-0.0147800317394139,0.01342680585341617,-0.004226483710758969,-0.0004178211385285764
A.D. 2025-Oct-29 00:00:00.0000,Mars (499),-0.5713497565517139,-1.39378171118827,-0.01519720829563527,0.01347678225896532,-0.004106175168495063,-0.0004165253967509858
A.D. 2025-Oct-30 00:00:00.0000,Mars (499),-0.5578484180812756,-1.397827452694197,-0.0156130693670966,0.01352572091273768,-0.003985196882094403,-0.0004151901696291795
