API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Thu Oct 23 07:08:49 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: ATLAS (C/2025 N1)               {source: JPL#27}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Jul-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-01 00:00:00.0000 TDB
Step-size       : 360 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2460884.5 ! 2025-Jul-28.0000000 (TDB)    RMSW= n.a.
   EC= 6.137350157289094   QR= 1.356065570996796   TP= 2460977.9835359612
   OM= 322.1522849649193   W= 128.0116082517727    IN= 175.1128577937168
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-9.927233344029041E-02  Y=-3.412582681072442E+00  Z=-1.208085018027772E+00
  VX=-1.385685492290884E-02 VY= 3.089107600479588E-02 VZ= 1.175545369890605E-02
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  12.3     M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460857.500000000, A.D. 2025-Jul-01 00:00:00.0000,  2.748403607481833E-01, -4.495951724832545E+00,  2.891382473557582E-01, -1.384863382590469E-02,  3.253037007037968E-02, -1.469837434711640E-03,
2460857.750000000, A.D. 2025-Jul-01 06:00:00.0000,  2.713781746908419E-01, -4.487818679801451E+00,  2.887707588783053E-01, -1.384885437114322E-02,  3.253399243357350E-02, -1.470070550912229E-03,
2460858.000000000, A.D. 2025-Jul-01 12:00:00.0000,  2.679159336943799E-01, -4.479684727485128E+00,  2.884032119970483E-01, -1.384907333515468E-02,  3.253762836435022E-02, -1.470304666159679E-03,
2460858.250000000, A.D. 2025-Jul-01 18:00:00.0000,  2.644536381569009E-01, -4.471549864482561E+00,  2.880356064614621E-01, -1.384929069552013E-02,  3.254127793572909E-02, -1.470539786562465E-03,
2460858.500000000, A.D. 2025-Jul-02 00:00:00.0000,  2.609912884821464E-01, -4.463414087374421E+00,  2.876679420194909E-01, -1.384950642955660E-02,  3.254494122122652E-02, -1.470775918276436E-03,
2460858.750000000, A.D. 2025-Jul-02 06:00:00.0000,  2.575288850795618E-01, -4.455277392722937E+00,  2.873002184175315E-01, -1.384972051431386E-02,  3.254861829485995E-02, -1.471013067505235E-03,
2460859.000000000, A.D. 2025-Jul-02 12:00:00.0000,  2.540664283643637E-01, -4.447139777071771E+00,  2.869324354004251E-01, -1.384993292657106E-02,  3.255230923115185E-02, -1.471251240500754E-03,
2460859.250000000, A.D. 2025-Jul-02 18:00:00.0000,  2.506039187576084E-01, -4.439001236945890E+00,  2.865645927114425E-01, -1.385014364283343E-02,  3.255601410513369E-02, -1.471490443563574E-03,
2460859.500000000, A.D. 2025-Jul-03 00:00:00.0000,  2.471413566862602E-01, -4.430861768851436E+00,  2.861966900922750E-01, -1.385035263932888E-02,  3.255973299234998E-02, -1.471730683043412E-03,
2460859.750000000, A.D. 2025-Jul-03 06:00:00.0000,  2.436787425832615E-01, -4.422721369275608E+00,  2.858287272830199E-01, -1.385055989200452E-02,  3.256346596886230E-02, -1.471971965339581E-03,
2460860.000000000, A.D. 2025-Jul-03 12:00:00.0000,  2.402160768876035E-01, -4.414580034686517E+00,  2.854607040221671E-01, -1.385076537652322E-02,  3.256721311125337E-02, -1.472214296901455E-03,
2460860.250000000, A.D. 2025-Jul-03 18:00:00.0000,  2.367533600443976E-01, -4.406437761533066E+00,  2.850926200465888E-01, -1.385096906826004E-02,  3.257097449663127E-02, -1.472457684228918E-03,
2460860.500000000, A.D. 2025-Jul-04 00:00:00.0000,  2.332905925049475E-01, -4.398294546244817E+00,  2.847244750915260E-01, -1.385117094229865E-02,  3.257475020263351E-02, -1.472702133872855E-03,
2460860.750000000, A.D. 2025-Jul-04 06:00:00.0000,  2.298277747268232E-01, -4.390150385231853E+00,  2.843562688905760E-01, -1.385137097342774E-02,  3.257854030743125E-02, -1.472947652435605E-03,
2460861.000000000, A.D. 2025-Jul-04 12:00:00.0000,  2.263649071739345E-01, -4.382005274884644E+00,  2.839880011756776E-01, -1.385156913613728E-02,  3.258234488973354E-02, -1.473194246571451E-03,
2460861.250000000, A.D. 2025-Jul-04 18:00:00.0000,  2.229019903166064E-01, -4.373859211573923E+00,  2.836196716771002E-01, -1.385176540461481E-02,  3.258616402879159E-02, -1.473441922987116E-03,
2460861.500000000, A.D. 2025-Jul-05 00:00:00.0000,  2.194390246316554E-01, -4.365712191650537E+00,  2.832512801234305E-01, -1.385195975274168E-02,  3.258999780440309E-02, -1.473690688442227E-03,
